id,type,date_due,amount,category,account,description,status,source,source_id,pending_kind,account_key,account_label,statement_month,date_charge,account_id,account_name_snapshot,payment_method_id,payment_method_name_snapshot,payment_resolution_template_json
1,investment,2026-05-08,150.0,Deposit,auto,Deposit,executed,,,manual,main_bank,Main,,,main_bank,Main,main_bank_transfer,Main bank account,"{""account_id"": ""main_bank"", ""account_name_snapshot"": ""Main"", ""backfilled_by"": ""migrate_legacy_data_to_current_logic_v2"", ""funding_account_id"": ""main_bank"", ""liability_account_id"": """", ""payment_method_id"": ""main_bank_transfer"", ""payment_method_name_snapshot"": ""Main bank account"", ""schema_version"": 1, ""settlement_account_id"": ""main_bank"", ""settlement_mode"": ""immediate"", ""transaction_type"": ""investment""}"
2,expense,2025-12-02,49.9,Subscriptions,auto,Amazon Prime,executed,,,manual,main_bank,Main,,,main_bank,Main,main_bank_debit_card,Debit Card,"{""account_id"": ""main_bank"", ""account_name_snapshot"": ""Main"", ""backfilled_by"": ""migrate_legacy_data_to_current_logic_v2"", ""funding_account_id"": ""main_bank"", ""liability_account_id"": """", ""payment_method_id"": ""main_bank_debit_card"", ""payment_method_name_snapshot"": ""Debit Card"", ""schema_version"": 1, ""settlement_account_id"": ""main_bank"", ""settlement_mode"": ""immediate"", ""transaction_type"": ""expense""}"
4,expense,2026-05-22,39.33,Housing,auto,Polizza Casa e Famiglia,executed,,,manual,main_bank,Main,,,main_bank,Main,main_bank_debit_card,Debit Card,"{""account_id"": ""main_bank"", ""account_name_snapshot"": ""Main"", ""backfilled_by"": ""migrate_legacy_data_to_current_logic_v2"", ""funding_account_id"": ""main_bank"", ""liability_account_id"": """", ""payment_method_id"": ""main_bank_debit_card"", ""payment_method_name_snapshot"": ""Debit Card"", ""schema_version"": 1, ""settlement_account_id"": ""main_bank"", ""settlement_mode"": ""immediate"", ""transaction_type"": ""expense""}"
5,expense,2026-06-04,10.0,Subscriptions,auto,OneDrive,executed,,,manual,main_bank,Main,,,main_bank,Main,main_bank_debit_card,Debit Card,"{""account_id"": ""main_bank"", ""account_name_snapshot"": ""Main"", ""backfilled_by"": ""migrate_legacy_data_to_current_logic_v2"", ""funding_account_id"": ""main_bank"", ""liability_account_id"": """", ""payment_method_id"": ""main_bank_debit_card"", ""payment_method_name_snapshot"": ""Debit Card"", ""schema_version"": 1, ""settlement_account_id"": ""main_bank"", ""settlement_mode"": ""immediate"", ""transaction_type"": ""expense""}"
6,investment,2026-06-08,150.0,Deposit,auto,Deposit,executed,,,manual,main_bank,Main,,,main_bank,Main,main_bank_transfer,Main bank account,"{""account_id"": ""main_bank"", ""account_name_snapshot"": ""Main"", ""backfilled_by"": ""migrate_legacy_data_to_current_logic_v2"", ""funding_account_id"": ""main_bank"", ""liability_account_id"": """", ""payment_method_id"": ""main_bank_transfer"", ""payment_method_name_snapshot"": ""Main bank account"", ""schema_version"": 1, ""settlement_account_id"": ""main_bank"", ""settlement_mode"": ""immediate"", ""transaction_type"": ""investment""}"
8,expense,2026-06-10,100.0,Debt,auto,Debt instalment: Phone Payments,executed,debt,3,manual,main_bank,Main,,,main_bank,Main,main_bank_debit_card,Debit Card,"{""account_id"": ""main_bank"", ""account_name_snapshot"": ""Main"", ""backfilled_by"": ""migrate_legacy_data_to_current_logic_v2"", ""funding_account_id"": ""main_bank"", ""liability_account_id"": """", ""payment_method_id"": ""main_bank_debit_card"", ""payment_method_name_snapshot"": ""Debit Card"", ""schema_version"": 1, ""settlement_account_id"": ""main_bank"", ""settlement_mode"": ""immediate"", ""transaction_type"": ""expense""}"
9,expense,2026-06-10,41.6,Debt,auto,Debt extinguishment: Payoff,executed,debt,4,manual,main_bank,Main,,,main_bank,Main,main_bank_debit_card,Debit Card,"{""account_id"": ""main_bank"", ""account_name_snapshot"": ""Main"", ""backfilled_by"": ""migrate_legacy_data_to_current_logic_v2"", ""funding_account_id"": ""main_bank"", ""liability_account_id"": """", ""payment_method_id"": ""main_bank_debit_card"", ""payment_method_name_snapshot"": ""Debit Card"", ""schema_version"": 1, ""settlement_account_id"": ""main_bank"", ""settlement_mode"": ""immediate"", ""transaction_type"": ""expense""}"
10,income,2026-06-10,200.0,Kineton,EdenRed,Ticket Restaurants,executed,,,manual,edenred,EdenRed,,,edenred,EdenRed,edenred,EdenRed,"{""account_id"": ""edenred"", ""account_name_snapshot"": ""EdenRed"", ""backfilled_by"": ""migrate_legacy_data_to_current_logic_v2"", ""funding_account_id"": ""edenred"", ""liability_account_id"": """", ""payment_method_id"": ""edenred"", ""payment_method_name_snapshot"": ""EdenRed"", ""schema_version"": 1, ""settlement_account_id"": ""edenred"", ""settlement_mode"": ""stored_balance"", ""transaction_type"": ""income""}"
12,expense,2026-06-15,200.0,Housing,paypal_credit,month 1 [PayPal checkout scheduled through PayPal credit/card route.],executed,,,credit_statement,credit_card,Credit Card,2026-06,2026-06-15,credit_card,Credit Card,credit_card,Credit Card,"{""account_id"": ""credit_card"", ""account_name_snapshot"": ""Credit Card"", ""backfilled_by"": ""migrate_legacy_data_to_current_logic_v2"", ""funding_account_id"": ""main_bank"", ""liability_account_id"": ""credit_card"", ""payment_method_id"": ""credit_card"", ""payment_method_name_snapshot"": ""Credit Card"", ""schema_version"": 1, ""settlement_account_id"": ""main_bank"", ""settlement_mode"": ""delayed"", ""transaction_type"": ""expense""}"
13,expense,2026-07-15,200.0,Housing,paypal_credit,Parking Spot,pending,recurring,8,credit_statement,credit_card,Credit Card,2026-07,2026-07-15,credit_card,Credit Card,credit_card,Credit Card,"{""account_id"": ""credit_card"", ""account_name_snapshot"": ""Credit Card"", ""backfilled_by"": ""migrate_legacy_data_to_current_logic_v2"", ""funding_account_id"": ""main_bank"", ""liability_account_id"": ""credit_card"", ""payment_method_id"": ""credit_card"", ""payment_method_name_snapshot"": ""Credit Card"", ""schema_version"": 1, ""settlement_account_id"": ""main_bank"", ""settlement_mode"": ""delayed"", ""transaction_type"": ""expense""}"
